name,online_order,book_table,rating,votes,phone,location,type,dish_liked,cuisines,approx_cost_two_people
eat.fit,Yes,Yes,4.1,94,080 49652510,Church Street,Quick Bites,Biryani,"Healthy Food, North Indian, Biryani",300.0
Donne Biriyani House,Yes,No,4.0,473,+91 9739406501,Indiranagar,Quick Bites,"Pepper Chicken, Chicken Biryani, Mutton Biryani",Biryani,300.0
Leon Grill,Yes,No,4.3,284,+91 8022232900,St. Marks Road,Quick Bites,"Burgers, Fries, Peri Peri Chicken, Nachos, Wings, Rolls, Tandoori Burger","Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",500.0
FreshMenu,Yes,No,3.8,377,+91 9019245000,Richmond Road,Delivery,"Salads, Burgers, Salad, Potato Wedges, Pizza, Noodles, Fish","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0
Sri Ganesh Juice Junction,Yes,No,4.1,210,+91 9591274301,Koramangala 8th Block,Beverage Shop,"Sandwiches, Sandwich, Omelette, Cheese Maggi","Beverages, Juices, Fast Food",150.0
Burger King,Yes,No,4.0,1393,080 33558000,Indiranagar,Quick Bites,"Burgers, Tandoori Grill Burger, Mango Shake, Cheesy Fries, Whopper Burger, Chicken Keema Burger, Chicken Crisp Burger","Burger, Fast Food, Beverages",600.0
Shanmukha,Yes,No,3.9,142,080 49653049,Old Airport Road,Casual Dining,"Fish, Chicken Curry, Paneer Biryani, Baby Corn Masala","Biryani, Andhra, North Indian, Chinese",800.0
Dunkin' Donuts,Yes,No,4.1,1079,080 40944712,Brigade Road,"Quick Bites, Dessert Parlor","Burgers, Coffee, Chocolate Donut, Bagel, Chocolate Drink, Dunkaccinos, Hot Chocolate","Burger, Desserts, Fast Food",550.0
Khan Saheb Grills and Rolls,Yes,No,4.0,1072,+91 8880121121,Indiranagar,Quick Bites,"Rolls, Beda Roti, Veggie Roll, Chicken Seekh Roll, Chicken Kalimirch, Kathi Roll, Mutton Kebab Roll","Fast Food, Rolls",350.0
Pathaan Sir,Yes,No,3.8,88,+91 9739956197,Frazer Town,Quick Bites,"Rolls, Fries, Egg Roll","Fast Food, Rolls, Momos",250.0
BOX8- Desi Meals,Yes,No,4.3,290,022 33552698,Residency Road,"Takeaway, Delivery","Dal Makhani, Chicken Curry, Sandwiches, Paratha, Butter Chicken","North Indian, Mughlai, Fast Food",500.0
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.2,382,080 49653126,Ulsoor,Cafe,"Wedges, Maggi, Burgers, Waffles, Margherita Pizza, Aam Panna, Tea","Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500.0
Punjabi Dhaba,Yes,No,3.5,350,+91 9900296710,Ejipura,Quick Bites,"Butter Chicken, Paratha","North Indian, Chinese",350.0
Firangi Bake,Yes,No,3.9,59,+91 7710090007,Indiranagar,Delivery,Lasagne,"Mexican, Italian",600.0
Behrouz Biryani,Yes,No,4.2,128,091 7700050050,Vasanth Nagar,Delivery,"Raita, Gosht Dum Biryani, Dum Ghost Biryani, Paneer Biryani",Biryani,650.0
Empire Restaurant,Yes,No,4.0,1864,080 49653301,Frazer Town,Casual Dining,"Faluda, Ghee Rice, Biryani, Barbeque Chicken, Pulpy Grape Juice, Chicken Kebab, Shawarma","North Indian, Mughlai, South Indian, Chinese",750.0
Tadkawala,Yes,No,3.5,68,080 49653213,Vasanth Nagar,"Takeaway, Delivery",Veg Thali,North Indian,200.0
Roti Shotti,Yes,No,3.8,61,080 49653273,Jeevan Bhima Nagar,Quick Bites,Dal Fry,North Indian,400.0
Nando's,Yes,No,4.3,1217,080 48538989,Indiranagar,Casual Dining,"Peri Peri Chicken, Peri Peri Fries, Peri Peri Drizzle, Burgers, Chicken Breast Burger, Potato Wedges, Murgh Platter","Portuguese, African",
KFC,Yes,No,3.6,206,080 33994444,Cunningham Road,Quick Bites,"Burgers, Crispy Chicken, Chicken Zinger Burger, French Fries, Chicken Fries, Hot Wings","Burger, Fast Food",400.0
Ovenstory Pizza,Yes,No,3.8,97,+91 7738383000,Vasanth Nagar,Delivery,Pizza,Pizza,750.0
M.M.A Kababs Rolls & Biryani Center,Yes,No,2.7,67,+91 9901251691,Old Madras Road,Quick Bites,"Rolls, Chicken Grill","Arabian, Mughlai, Chinese, Kebab, Fast Food",400.0
Belgian Waffle Factory,Yes,No,4.9,1746,+91 9481511911,Brigade Road,Dessert Parlor,"Coffee, Berryblast, Nachos, Chocolate Waffles, Nutella Waffle, Chocolate Overload, Sandwiches",Desserts,400.0
Shanthi Sagar,Yes,No,4.1,204,080 41135196,Ulsoor,Quick Bites,"Coffee, Roti, Vada Pav","South Indian, North Indian, Chinese, Juices",250.0
Faasos,Yes,No,3.8,101,+91 7700020020,Vasanth Nagar,Delivery,"Rolls, Veggie Wrap, Biryani, Paratha, Cheesy Chicken Wrap","North Indian, Biryani, Fast Food",500.0
The Mughal's,Yes,No,3.7,89,+91 8884497867,Frazer Town,Quick Bites,"Chicken Biryani, Lemon Chicken Roll","Mughlai, North Indian, Chinese",400.0
Potful,Yes,No,4.1,1125,080 49653469,Domlur,Delivery,"Phirni, Chicken Roll, Hyderabadi Biryani, Mutton Biryani, Lucknowi Biryani, Galauti Kebab, Gulab Jamun","Biryani, Kebab, Rolls, Mughlai",650.0
KKR FOODIES,Yes,Yes,3.1,58,+91 9620388962,St. Marks Road,Quick Bites,Biryani,"Biryani, Chinese, Fast Food, North Indian",400.0
Meghana Foods,Yes,Yes,4.2,1746,080 49652122,Indiranagar,Casual Dining,"Chicken Boneless Biryani, Paneer Biryani, Andhra Style Biryani, Tandoori Chicken, Prawn Biryani, Raita, Hyderabadi Biryani","Biryani, Chinese, North Indian, Seafood",750.0
Xpress Biryani,Yes,No,4.3,146,+91 8043757153,Ulsoor,Casual Dining,"Butter Chicken Biryani, Gulab Jamun, Chicken Tikka Biryani, Dal Bukhara, Hara Bhara Kebab, Mutton Keema, Masala Biryani","Biryani, North Indian, Kebab",650.0
Soda Bottle Opener Wala,Yes,Yes,4.4,3651,+91 9892841456,Lavelle Road,"Casual Dining, Irani Cafee","Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Crispy Okra, Kulfi","Parsi, North Indian",
Thai Chy,Yes,Yes,4.3,375,080 45128670,Indiranagar,Casual Dining,"Noodles, Watermelon Mint Mojito, Rendang Curry, Chicken Dim Sum, Laksa, Dimsum Platter, Spinach Corn Cheese","Thai, Asian, Indonesian",
Cafe Azzure,Yes,Yes,4.3,2664,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger",
Tata Cha,Yes,No,3.9,67,18001208242,Church Street,"Beverage Shop, Cafe","Chai, Ginger Tea, Poha, Coffee, Bun Maskas","Cafe, Tea, North Indian",500.0
Krispy Kreme,Yes,No,4.0,47,080 41254402,Richmond Road,Dessert Parlor,"Donut, Coffee","Desserts, Beverages",300.0
XO Belgian Waffle,Yes,No,4.4,215,+91 6362619816,Brigade Road,Food Court,"Belgian Waffles, Hot Chocolate, Salted Caramel, Nutella Waffle","Desserts, Beverages",450.0
Mani's Dum Biryani,Yes,No,4.0,175,+91 9606441697,Ulsoor,Casual Dining,"Chicken Biryani, Vegetable Biryani, Raita","Biryani, Kebab",750.0
Subway,Yes,No,3.9,107,+91 8022112525,Lavelle Road,Quick Bites,"Salad, Salads, Sandwiches","Salad, Fast Food",600.0
Suryawanshi,Yes,No,4.2,444,+91 9036528709,Indiranagar,Casual Dining,"Thali, Misal Pav, Pandhra Rassa, Roti, Chicken Kolhapuri, Tamda Rassa, Kadhi","Seafood, Maharashtrian",700.0
Keventers,Yes,No,4.0,568,080 49653343,Indiranagar,"Beverage Shop, Dessert Parlor","Thick Shakes, Choco Chip Shake, Choco Hazelnut, Chocolate Hazelnut Shake, Oreo Shake, Kit Kat Shake, Butterscotch Shake","Desserts, Beverages, Ice Cream",400.0
Alampur Bar And Restaurant,Yes,No,3.7,42,080 22256578,Race Course Road,Casual Dining,"Thali, Chicken Biryani","Chinese, South Indian, North Indian",900.0
SGS Non Veg - Gundu Pulav,Yes,No,3.9,55,+91 9742166077,St. Marks Road,Quick Bites,Chilli Chicken,"Biryani, Fast Food",400.0
Laughing Llama Gastropub,Yes,Yes,4.3,393,+91 9535029732,Brigade Road,"Bar, Casual Dining","Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails","Finger Food, Continental, Pizza",
Oregano Pizzeria,Yes,No,3.5,60,+91 8747000082,Frazer Town,Quick Bites,"Pizza, Pasta, Burgers, Lasagne, Masala Garlic Bread","Italian, Pizza",300.0
Cita Pani,Yes,Yes,3.9,54,080 49653502,Indiranagar,Quick Bites,"Peri Peri Chicken, Shawarma, Biryani, Rolls","Biryani, North Indian, Arabian",350.0
The Waffle Press,Yes,No,4.3,116,+91 9945403528,St. Marks Road,Dessert Parlor,"Waffles, Liege Waffle, Ice Cream Sandwiches, Salted Caramel Ice Cream, Ice Cream Sandwich","Desserts, Ice Cream",400.0
Berrylicious Cafe,Yes,No,4.1,125,080 49652468,MG Road,"Casual Dining, Cafe","Waffles, Sandwiches, Nachos, Burgers, Chicken Keema Pizza, Penne Pasta, Smoothie Bowl","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",900.0
Atty's Bakery,Yes,No,4.0,73,080 41690101,Frazer Town,Bakery,"Gooey Brownie, Brownie Chocolate, Chocolate Ganache, Garlic Bread, Salted Caramel Brownie, Plum Cake, Chocolate Cake",Bakery,250.0
Bozo's Yum Yums,Yes,No,4.0,90,+91 9632547335,Frazer Town,"Takeaway, Delivery","Burgers, Beef Burger, Sandwiches, Fries, Bacon Burger","Fast Food, Burger, American",650.0
Skoolroom,Yes,No,4.3,570,+91 9743538476,Ulsoor,Cafe,"Chocolate Overload, Burgers, Pasta, Peri Peri Chicken Pizza, Peri Peri Chicken Burger, Momos, Freak Shake","Cafe, Continental, Italian, Burger, Beverages",700.0
Cream Chemistry,Yes,No,3.9,148,+91 9916025496,Frazer Town,Dessert Parlor,"Rolls, Ice Cream Roll","Ice Cream, Desserts",500.0
The Brekkie Shop,Yes,No,3.5,64,+91 8880621621,MG Road,Takeaway,"Pasta, Fruit Parfait","Healthy Food, Sandwich",300.0
WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.0,85,+91 9740780105,Residency Road,"Dessert Parlor, Quick Bites","Waffles, Pie, Corn Dog","Cafe, Fast Food, Desserts, Beverages",400.0
Hotel Ramprasad,Yes,No,4.2,93,+91 9886723465,Brigade Road,Quick Bites,"Filter Coffee, Kesari Bath, Curd Rice, Idli Vada, Crispy Masala Dosa, Masala Tea, Thick Coconut Chutney","South Indian, Chinese",300.0
Anna Kuteera,Yes,No,3.8,62,+91 8095011126,St. Marks Road,Casual Dining,"Panner Tikka, Coffee, Vada, Idli","South Indian, North Indian, Chinese",400.0
Lassi Shop,Yes,No,3.8,83,+91 9739559814,Indiranagar,"Dessert Parlor, Beverage Shop","Lassi, Faluda","Beverages, Juices, Ice Cream",100.0
Kitchen of Joy,Yes,No,4.1,569,+91 9900962765,Indiranagar,Quick Bites,"Rolls, Egg Roll, Chai, Ginger Tea, Biryani, Rasgulla, Luchi","Fast Food, Bengali, Rolls",400.0
Shaadi Ki Biryani,Yes,No,2.8,296,080 65650707,Commercial Street,Casual Dining,"Mutton Biryani, Brinjal Curry, Chicken Biryani, Kheer, Hyderabadi Biryani, Raita, Kebab Platter",Biryani,600.0
Sheesh Kebab,Yes,No,4.1,68,080 25802222,Frazer Town,Casual Dining,"Naan, Mutton Kebab, Memon Mutton Biryani, Mutton Keema",North Indian,700.0
Just Shawarma,Yes,No,3.8,110,+91 7676764422,Ulsoor,Quick Bites,"Rolls, Whole Meat Shawarma",Arabian,300.0
The Belgian Waffle Co.,Yes,No,4.0,71,080 43755127,Indiranagar,Dessert Parlor,"Waffles, Pancakes",Desserts,400.0
Sweet Truth,Yes,No,4.2,50,+91 7710055553,Koramangala 8th Block,Delivery,"Cheesecake, Chocolate Fantasy, Chocolate Cake, Chocolate Decadence, Brownie, Red Velvet, Chocolava Cake","Bakery, Desserts",500.0
Srinidhi Sagar Food Line,Yes,No,3.7,129,080 25250408,Indiranagar,Quick Bites,"Vada, Masala Dosa, Filter Coffee","South Indian, North Indian, Chinese",40.0
Pabrai's Fresh & Naturelle Icecreams,Yes,No,4.2,131,+91 9535006187,Brigade Road,Dessert Parlor,"Apple Pie, Mascarpone Cheese, Nolen Gurer Ice Cream, Paan Ice Cream, Nolen Gur, Gur Ice Cream, Salted Caramel","Ice Cream, Desserts",180.0
Ibaco,Yes,No,4.0,289,+91 9686388388,Indiranagar,Dessert Parlor,"Icecream Cake, Almond Crunch, Cream Cake, Belgian Chocoholic",Desserts,300.0
Sreeraj Lassi Bar,Yes,No,3.9,61,+91 7022356498,Shanti Nagar,Beverage Shop,"Fruit Lassi, Sweet Lassi, Kulfi, Banana Split","Beverages, Desserts",150.0
The Egg Factory,Yes,No,4.2,1764,080 42110041,St. Marks Road,Casual Dining,"Omelette, French Toast, Bun Masala, Pasta, Egg Pav Bhaji, Fajitas, Paneer Wrap","Continental, American",750.0
Dolci Desserts,Yes,No,4.3,652,080 40977132,Cunningham Road,"Cafe, Dessert Parlor","Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu","Cafe, Desserts",750.0
Kartik's Mithai Shoppe,Yes,No,4.1,110,080 41264166,Indiranagar,"Quick Bites, Sweet Shop","Chaat, Panipuri, Chole Bhature, Rasmalai, Chhole Bhature, Sev Puri, Samosa","Mithai, Street Food",150.0
Desi Deck,Yes,Yes,3.9,96,+91 9962403374,Brigade Road,"Casual Dining, Bar","Balti Gosht, Cocktails, Dal Makhani","Mughlai, North Indian, Desserts",
Hoppipola,Yes,No,4.3,1703,+91 9620216162,Church Street,Lounge,"Masala Peanuts, Cocktails, Paratha, Pizza, Pasta, Burgers, Brownie","Continental, Mediterranean, European",
99 Pancakes,Yes,No,4.1,41,+91 7483655827,Church Street,Dessert Parlor,Nutella Pancakes,"Desserts, Ice Cream",150.0
Amande Patisserie,Yes,No,4.2,231,080 40981668,Lavelle Road,"Bakery, Dessert Parlor","Macaroon, Fruit Tart, Opera Cake, Belgian Dark Chocolate, Orange Tart, Eclair, Chocolate Mousse","Bakery, French, Desserts",300.0
Qissa Khawani,Yes,No,4.4,319,+91 9886414122,Church Street,Casual Dining,"Lassi, Paratha, Chicken Tikka, Mutton Pulao, Dal Makhani, Garlic Naan, Kheer","North Indian, Mughlai",800.0
Cafe Coffee Day,Yes,No,3.3,65,+91 9071380559,Brigade Road,Cafe,Cappuccino,"Cafe, Fast Food",900.0
Vinny's,Yes,No,3.9,206,+91 8951237163,Brigade Road,Casual Dining,"Pizza, Pasta, Mozzarella Sticks, Mocktails, Tiramisu, Fries, Salad","Pizza, Italian, Continental, Desserts",800.0
Sagar Delicacy,Yes,No,3.9,87,080 41471383,Ulsoor,Casual Dining,"Handi Biryani, Sandwich","North Indian, Chinese, Fast Food, Street Food",500.0
Northern Route,Yes,No,4.1,159,+91 9663708213,St. Marks Road,Quick Bites,"Paratha, Paneer Pakora, Chole Bhature, Rajma Chawal, Chaach, Lassi, Buttermilk","North Indian, Street Food",300.0
Pizza Stop,Yes,No,3.5,73,+91 8046640404,Lavelle Road,Kiosk,"Pizza, Pasta, Garlic Bread, Nachos","Pizza, Italian",600.0
Mudpipe Cafe,Yes,No,4.2,739,+91 9886140111,Cunningham Road,Cafe,"Sandwiches, Lemonade, Nachos, Mozzarella Sticks, Fries, Pasta, Pizza","Cafe, Continental, Italian, Burger",750.0
NoLimmits Lounge and Club,Yes,Yes,4.0,2103,080 49653274,Brigade Road,Club,"Salads, Chicken Bbq Wings, Sandwiches, Pasta, Biryani, Pizza, Popcorn","Chinese, Continental, North Indian, Burger, Pizza",
20 Feet High,Yes,Yes,4.0,932,080 49653093,Church Street,"Casual Dining, Bar","Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak","American, Continental, Steak, Salad",
Munchies,Yes,No,3.9,64,080 41126336,Brigade Road,"Quick Bites, Bakery","Burgers, Sandwiches, Momos, Chicken Seekh Roll, Sandwich","Fast Food, Bakery",250.0
Pai Vihar,Yes,No,2.8,54,+91 8041235143,Vasanth Nagar,Quick Bites,"Masala Dosa, Coffee","South Indian, Street Food, Chinese, Fast Food",400.0
Eat At Nite,Yes,No,3.2,56,080 49652523,Frazer Town,"Takeaway, Delivery","Fried Rice, Biryani","North Indian, Chinese, Rolls",400.0
Sri Udupi Park,Yes,No,3.8,106,+91 9663839808,Residency Road,Quick Bites,"Vada, Idli, Kharabath, Noodles, Filter Coffee","South Indian, Chinese",200.0
Cafe Terra,Yes,No,4.2,391,080 41631800,Indiranagar,Cafe,"English Breakfast, Waffles, Chicken Lasagne, Pasta, Watermelon Juice, Momos, Thukpa","Cafe, Continental, Fast Food",500.0
Charminar Kabab Paradise,Yes,No,4.0,104,080 25484607,Frazer Town,Casual Dining,"Rolls, Biryani, Chicken Roll, Chicken Kebab, Mutton Seekh Roll, Keema Roti","North Indian, Chinese, Mughlai, Kebab",500.0
EatWater,Yes,No,4.2,121,080 43711645,Lavelle Road,"Casual Dining, Bar","Saffron Pilaf, Banana Chips, Cheesecake, Tender Coconut Ice Cream, Paratha, Begun Pora, Mocha Chingri",North Eastern,
The Coffee Bean & Tea Leaf,Yes,No,3.8,260,+91 8022086888,MG Road,Cafe,"Coffee, Sandwiches, Blueberry Muffin, Pancakes, Espresso, Cappuccino, Cheesecake",Cafe,700.0
Step Right Up,Yes,No,4.1,152,+91 9513173681,Vasanth Nagar,Cafe,"Burgers, Peri Peri Fries, Exotic Pizza, Sandwiches, Veggie Pizza, White Sauce Pasta, French Fries","Cafe, Italian",300.0
The J,Yes,No,4.0,134,+91 7760879492,Church Street,Quick Bites,"Fried Cheese, French Fries, Maggi, Thick Shakes, Chilli Cheese Fries, Tea","Fast Food, Beverages",450.0
Cafe Braqa,Yes,Yes,4.0,144,+91 7204874361,Indiranagar,Cafe,"Ginger Tea, Cup Cake, Sandwich, Pasta, Cappuccino, Pizza, Cheese Sticks","Cafe, Italian, Continental, Beverages",700.0
BLOW,Yes,Yes,4.2,937,080 49653044,Church Street,Cafe,"Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe","Cafe, Continental, American, Burger",750.0
Cobaja,Yes,Yes,4.3,61,080 49652180,Brigade Road,Casual Dining,"Badam Milk, Cocktails, Mutton Liver Fry, Paan Mojito, Veg Thali, Mocktails, Neer Dosa","Seafood, South Indian, Bar Food, Mangalorean, Konkan",700.0
The Bundle Co.,Yes,No,4.4,222,+91 9148887222,MG Road,Quick Bites,"Burgers, Salad, Mocktails, Pasta Arrabiata, Fries, Nutella Cheesecake, Teriyaki Chicken Wings","Burger, Continental, Italian, Beverages",700.0
The Grill House,Yes,Yes,4.1,765,080 40977011,Ulsoor,"Casual Dining, Bar","Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff","American, Mexican, Italian, Steak",
Mountain Spice,Yes,No,3.9,186,+91 7829146199,Koramangala 8th Block,Quick Bites,"Momos, Chicken Lollipop, Chicken Momo, Noodles, Chicken Thukpa","Chinese, Nepalese, Tibetan, Momos",400.0
Petoo,No,No,3.7,32,+91 9845008658,Commercial Street,Casual Dining,Biryani,"North Indian, Fast Food, Street Food",800.0
Red Lantern,Yes,No,3.7,162,+91 8022202020,Cunningham Road,Casual Dining,"Noodles, Phad Thai, Sweet Corn Soup, Chop Suey","Chinese, Thai",700.0
Kitchen On Table,Yes,No,4.0,48,+91 9343044750,Brigade Road,Casual Dining,"Sushi, Sea Food","Japanese, Sushi, Asian",
Trick Or Treat,No,No,4.2,618,+91 9035343341,Brigade Road,Cafe,"Burgers, Sandwich, Peri Peri Chicken Satay, Fries, Nachos, Sandwiches, Pesto Pasta","Cafe, Burger, Continental, Pizza, Steak",500.0
The Souk,Yes,No,3.7,66,+91 9846709999,Ulsoor,Cafe,"Mediterranean Platter, Brownie, Pasta, Burgers, Cheesy Garlic Bread, Steak","Cafe, Mediterranean, Italian, Pizza, Continental",800.0
Happy Belly Bakes,Yes,No,4.2,115,080 48654072,MG Road,"Cafe, Bakery","Hot Chocolate, Waffles, Brownie, Chicken Pizza, Tea, Chocolate Cupcake, Pasta","Cafe, Bakery",500.0
Baba Da Dhaba,No,Yes,4.1,373,+91 8880805555,Brigade Road,Casual Dining,"Butter Chicken, Dal Makhani, Chicken Curry, Tandoori Chicken, Mix Veg, Biryani, Naan",North Indian,650.0
Ging - Royal Orchid Central,Yes,Yes,4.3,225,+91 9902000063,MG Road,"Bar, Casual Dining","Paneer Satay, Beer, Creme Brulee, Crispy Prawns",Asian,
Masala Central,Yes,No,3.7,74,+91 9923703155,Frazer Town,Quick Bites,"Sandwiches, Tea, Masala Chai, Pasta, Maggi, Sandwich, Chicken Burger",North Indian,300.0
Tree Top,Yes,No,3.8,74,080 49652744,Wilson Garden,Casual Dining,Friendly Staff,"Continental, Chinese, North Indian, South Indian",
Troll,Yes,No,3.8,102,+91 8147868986,Indiranagar,Dessert Parlor,"Ice Cream Roll, Oreo Ice Cream, Rolls, Chocolate Peanut Butter, Nutella Cookie","Desserts, Ice Cream",300.0
Mamma Mexicana,Yes,Yes,2.2,406,+91 9886670606,MG Road,Casual Dining,"Nachos, Pizza, Margarita, Mushroom Soup, Tacos, Tortilla Soup, Chicken Burritos",Mexican,
Chutney Chang,Yes,Yes,4.2,4732,080 49652638,Church Street,Casual Dining,"Chaat, Chocolate Wonton, Apple Pie, Raj Kachori, Caramel Custard, Momos, Chicken Curry","North Indian, Chinese, BBQ",
Amritsari Kulcha Bite,Yes,No,3.9,101,080 49653083,Ulsoor,Quick Bites,"Lassi, Amritsari Kulcha, Chole",North Indian,150.0
Tempura Restaurant,No,No,3.9,122,+91 9663902053,Brigade Road,Casual Dining,"Chicken Manchurian, Thukpa, Chicken Momo, Veg Momos, Tea, Veg Thupka","Japanese, Chinese, Tibetan, Momos",500.0
Red Onion,Yes,Yes,4.3,550,+91 8867253669,Shanti Nagar,Casual Dining,"Fish, Dumplings, Biryani, Paneer Tikka Masala, Manchow Soup, Chicken Wings, Chop Suey","Chinese, North Indian, Biryani, Kebab",
Shalimar,Yes,No,4.0,153,080 49652615,Indiranagar,Casual Dining,"Sea Food, Murgh Ghee Roast, Masala Peanuts, Beer, Roti","North Indian, Chinese, Seafood",700.0
Mainland China,Yes,Yes,4.5,1394,080 49652555,Church Street,"Casual Dining, Bar","Hunan Tofu, Noodles, Jumbo Prawns, Jasmine Tea, Chicken Momo, Cocktails, Momos","Chinese, Momos",
The Rice Bowl,Yes,Yes,4.3,500,080 49653099,Lavelle Road,"Casual Dining, Bar","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken","Chinese, Momos",
Kamat Minerva,Yes,No,2.6,72,080 26703813,Basavanagudi,Quick Bites,"Butter Naan, Buttermilk, Jowar Roti, Panneer Butter Masala","South Indian, North Indian, Chinese",300.0
The Tao Terraces,Yes,Yes,4.0,1912,080 49653408,MG Road,Casual Dining,"Salads, Cocktails, Khao Suey, Jumbo Prawns, Veg Sushi, Espresso Martini, Tom Yum Soup","Thai, Japanese, Korean, Burmese, Chinese",
Oye Amritsar,Yes,Yes,4.1,450,+91 9036025211,Church Street,Casual Dining,"Lassi, Aloo Paratha, Jalebi, Palak Paneer, Cheese Naan",North Indian,
Tandoor,Yes,Yes,3.9,1361,080 49652745,MG Road,Fine Dining,"Mutton Biryani, Dal Makhani, Chicken Malai Tikka, Paneer Makhani, Faluda, Jal-jeera, Cocktails",North Indian,
Danny Lambas Punjabi Dhaba,Yes,No,3.5,98,+91 9343775155,Indiranagar,Casual Dining,"Tandoori Chicken, Paneer Makhani, Mutton Roganjosh, Paratha, Aloo Jeera, Butter Chicken","North Indian, Chinese, Biryani",600.0
BabaYaga's,Yes,Yes,4.1,207,080 49652754,Indiranagar,"Bar, Casual Dining","Cocktails, Masala Fries, Chicken Wings, Beer, Onion Rings, Pizza, Nachos","American, Finger Food",
Ebony,Yes,Yes,4.3,3126,080 41783344,MG Road,Casual Dining,"Appam, Khao Suey, Rabri, Chicken Biryani, Kebab Platter, Prawn, Pad Thai","North Indian, South Indian",
ASEAN - On The Edge,Yes,Yes,4.4,861,080 41783366,MG Road,Casual Dining,"Cocktails, Khao Suey, Mocktails, Salad, Malacca Curry, Beer, Beef Pho","Asian, Thai",
Kick Out the Jams,Yes,No,4.0,528,+91 9900831191,Ejipura,Delivery,"Burgers, Pizza, Bacon Burger, Wings, Cheesecake, Chicken Burger, Pepperoni","Burger, American, Italian",350.0
Mummy Dhaba,Yes,No,3.2,46,+91 8951133536,Ulsoor,Quick Bites,Dal Makhani,North Indian,300.0
Japan Travel Cafe Azuki,No,No,4.3,67,080 41214342,Residency Road,Cafe,"Miso Soup, Tempura","Cafe, Japanese",400.0
Nagashree's,No,No,2.9,46,+91 9341324184,Shanti Nagar,Casual Dining,"Biryani, Mutton Chops","South Indian, North Indian, Fast Food",550.0
Parika Multicuisine Restaurant,Yes,Yes,3.8,203,080 49652474,Richmond Road,Casual Dining,"Tandoori Chicken, Kheer, Chicken Tikka, Butter Naan, Sweet Lassi, Caramel Custard, Panipuri","North Indian, Chinese, Mughlai",
Masala Oota,Yes,No,3.6,79,080 48543377,Residency Road,Quick Bites,"Donne Chicken Biryani, Akki Rottis, Roti, Mutton Chops, Chicken Curry, Vada, Coffee","South Indian, Biryani",500.0
Fava,No,Yes,4.4,2039,080 49652925,Lavelle Road,"Casual Dining, Bar","Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Pasta, Sangria","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",
ThrowBack - Pub & Dine,No,No,3.9,234,+91 9742933332,Langford Town,"Bar, Casual Dining","Cocktails, Pizza, French Fries","Italian, North Indian, Continental",
The Bangalore Cafe,No,Yes,4.1,473,080 49653314,Shanti Nagar,Casual Dining,"Pasta, Coffee, Chaat, Paneer Pizza, Tawa Pulav, Aloo Biryani, Paratha","Modern Indian, North Indian, Pizza, Continental, Beverages",800.0
Truffles,No,No,4.5,3569,080 49652756,St. Marks Road,Cafe,"Burgers, Pasta, Mocktails, Cheese Burger, Ferrero Rocher Milkshake, Peri Chicken, Chicken Paprika","Cafe, American, Burger, Steak",900.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,Yes,Yes,4.4,691,080 22086644,MG Road,"Casual Dining, Cafe","Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Cocktails, Salad","American, Cafe, Continental",
Art of Delight,No,No,4.4,1896,080 40913229,Residency Road,Dessert Parlor,"Waffles, Chocolate Sundae, Mango Ice Cream, Nutella Cheesecake, Salsa, Banana Split, Hot Chocolate Fudge","Ice Cream, Desserts, Beverages",400.0
Cafe Kaara,No,No,4.2,162,080 25586860,Ulsoor,Cafe,"Coffee, Cappuccino, Sandwich, Tiramisu, Hot Chocolate, Fries, Pesto Pasta","Cafe, Salad, Desserts, Pizza",750.0
Khazana Food Paradise,No,No,4.1,356,+91 9900903909,Richmond Road,Quick Bites,"Beef Biryani, Chicken Biryani, Chicken Kebab, Mutton Biryani, Beef Kabab, Paratha, Ghee Rice","North Indian, Biryani",400.0
Mandarin Box,No,No,3.9,80,080 40222999,Church Street,Quick Bites,"Momos, Noodles, Chop Suey",Chinese,500.0
