Restaurant Name,Location,Contact Number/s,Restaurant Type,Rating,Cuisines Available,Most Liked Dishes,Table Booking Facility?
NoLimmits Lounge and Club,Brigade Road,080 49653274,Club,4.0/5,"Chinese, Continental, North Indian, Burger, Pizza","Salads, Chicken Bbq Wings, Sandwiches, Pasta, Biryani, Pizza, Cocktails",Yes
The Tao Terraces,MG Road,080 49653408,Casual Dining,4.0/5,"Thai, Japanese, Korean, Burmese, Chinese","Salads, Cocktails, Khao Suey, Jumbo Prawns, Veg Sushi, Espresso Martini, Tom Yum Soup",Yes
Bangalore Brew Works,Residency Road,080 49653436,"Microbrewery, Lounge",4.2/5,"Continental, Italian","Spaghetti, Wheat Beer, Cocktails, Risotto, Nachos, Gourmet Pizza, Draught Beer",Yes
Samarkand,Infantry Road,080 41113366,Casual Dining,4.1/5,"North Indian, Mughlai","Hyderabadi Biryani, Firni, Kulfi, Lassi, Mutton Biryani, Gosht Dum Biryani, Raan",Yes
Cafe Azzure,MG Road,080 49653400,Cafe,4.3/5,"Cafe, Continental, Italian, Burger","Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers",Yes
Soda Bottle Opener Wala,Lavelle Road,080 45128763,"Casual Dining, Irani Cafee",4.4/5,"Parsi, North Indian","Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Crispy Okra, Kulfi",Yes
Fava,Lavelle Road,080 49652925,"Casual Dining, Bar",4.4/5,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Pasta, Sangria",Yes
Alchemy - The Chancery Pavilion,Residency Road,080 45128699,"Microbrewery, Casual Dining",4.3/5,Modern Indian,"Craft Beer, Stout, Cocktails, Chicken Wings, Brewed Beer, Mysore Pak, Cheesecake",Yes
Spice Terrace - JW Marriott,Lavelle Road,080 49652948,"Fine Dining, Microbrewery",4.3/5,"North Indian, Seafood","Chicken Tikka, Faluda, Raita, Tarkari Biryani, Butter Naan, Fish, Dal Makhani",Yes
1Q1,Infantry Road,080 48050101,"Casual Dining, Bar",4.3/5,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese","Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Salad",Yes
Sotally Tober,Residency Road,080 45128814,"Bar, Casual Dining",4.4/5,"Asian, Burger, Chinese, Finger Food","Cocktails, Sangria, Butter Chicken, Corn Fritters, Paneer Steak, Chicken Steak, Palak Paneer",Yes
Tandoor,MG Road,080 49652745,Fine Dining,3.9/5,North Indian,"Mutton Biryani, Dal Makhani, Chicken Malai Tikka, Paneer Makhani, Faluda, Jal-jeera, Cocktails",Yes
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,MG Road,080 22086644,"Casual Dining, Cafe",4.4/5,"American, Cafe, Continental","Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Cocktails, Salad",Yes
Hae Kum Gang,Brigade Road,080 49652616,Casual Dining,4.4/5,"Korean, Chinese, Japanese","Sushi, Kimchi, Pork Sizzler, Chicken Donburi, Shrimp Donburi, Crab Roll, Bulgogi",Yes
Cubbon Pavilion - ITC Gardenia,Richmond Road,080 22119898,Fine Dining,4.3/5,"European, Continental, Chinese, Thai","Cocktails, Breakfast Buffet, Croissants, Lassi, Salads, Caramel Cake, Waffles",Yes
Tree Tops Bar & Kitchen,Lavelle Road,080 49653364,"Casual Dining, Bar",4.4/5,"North Indian, Chinese, Continental, Italian","Cocktails, Pasta, Peri Peri Chicken Burger, Brownie, Jalapeno Poppers, Mocktails, Basil Pesto",Yes
Capri Gastrobar,St. Marks Road,080 49653576,"Bar, Casual Dining",4.3/5,"Mediterranean, Italian, Asian","Cocktails, Peri Peri Wings, Brownie, Burgers, Mezze Platter, Pizza, Fries",Yes
The Rice Bowl,Lavelle Road,080 49653099,"Casual Dining, Bar",4.3/5,"Chinese, Momos","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken",Yes
Alba - JW Marriott Bengaluru,Lavelle Road,080 49652956,Fine Dining,4.4/5,Italian,"Pizza, Tiramisu, Pasta, Risotto, Lobster, Panna Cotta, Salad",Yes
ASEAN - On The Edge,MG Road,080 41783366,Casual Dining,4.4/5,"Asian, Thai","Cocktails, Khao Suey, Mocktails, Salad, Malacca Curry, Beer, Beef Pho",Yes
Salvadores,MG Road,080 49652852,Fine Dining,4.4/5,"Mediterranean, Continental, French, Italian","Wine, Salad, Steak, Coffee, Pork Chops",Yes
The Spice Bazaar,Lavelle Road,080 49653209,"Casual Dining, Bar",4.2/5,"North Indian, Mughlai","Brownie, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mutton Soup, Custard",Yes
Chianti,MG Road,080 43755274,Casual Dining,4.4/5,Italian,"Pizza, Seafood Pasta, Panna Cotta, Ravioli, Lasagne, Tiramisu, Virgin Sangria",Yes
Mahjong Room - WelcomHotel Bengaluru,Richmond Road,080 49653109,Casual Dining,4.6/5,Chinese,"Chocolate Cookies, Cocktails, Fudge Sundae, Jasmine Rice, Gong Bao Chicken, Date Pancakes, Tender Coconut Ice Cream",Yes
The Market - The Ritz-Carlton,Residency Road,080 49148341,Fine Dining,4.3/5,"North Indian, European, Thai","Pizza, Waffles, Roti, Pasta, Sushi, Salads, Fish",Yes
Bang - The Ritz-Carlton,Residency Road,080 49148000,Lounge,4.3/5,Finger Food,"Paneer Roll, Cocktails, Wine, Fiery Chicken, Mexican Platter, Dragon Chicken, Paneer Tikka",Yes
Cobaja,Brigade Road,080 49652180,Casual Dining,4.3/5,"Seafood, South Indian, Bar Food, Mangalorean, Konkan","Badam Milk, Cocktails, Mutton Liver Fry, Paan Mojito, Veg Thali, Mocktails, Neer Dosa",Yes
Kebabs & Kurries - ITC Gardenia,Richmond Road,080 22119898,Fine Dining,4.3/5,"North Indian, Mughlai","Dal Bukhara, Biryani, Fish, Gulab Jamun, Kulfi, Warqi Parantha, Raan",Yes
Cafe Noir,Lavelle Road,+91 8040982050,Casual Dining,4.2/5,"European, French, Salad","Coffee, Sandwiches, Mushroom Pasta, Mocktails, Creme Brulee, Burgers, Salads",Yes
Laughing Llama Gastropub,Brigade Road,+91 9535029732,"Bar, Casual Dining",4.3/5,"Finger Food, Continental, Pizza","Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails",Yes
Ging - Royal Orchid Central,MG Road,+91 9902000063,"Bar, Casual Dining",4.3/5,Asian,"Paneer Satay, Beer, Creme Brulee, Crispy Prawns",Yes
Edo Restaurant & Bar - ITC Gardenia,Richmond Road,080 22119898,Fine Dining,4.3/5,Japanese,"Sushi, Teriyaki Chicken, Oysters, Tiramisu, Chocolate Mousse, Tempura, Salmon",Yes
Season - Adarsh Hamilton,Richmond Road,080 43595713,Casual Dining,4.3/5,"North Indian, Chinese, South Indian, Continental","Fish, Pepper Corn, Salads, Mutton Biryani, Lunch Buffet, Apple Pie, Dahi Vada",Yes
The Grill House,Ulsoor,080 40977011,"Casual Dining, Bar",4.1/5,"American, Mexican, Italian, Steak","Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff",Yes
Riwaz - The Ritz-Carlton,Residency Road,080 49148000,"Fine Dining, Bar",4.1/5,North Indian,"Tandoori Broccoli, Dal Makhani, Tamatar Ka Shorba, Kadhai Paneer, Raan, Kulfi, Biryani",Yes
Cafe Mangii,Lavelle Road,+91 8022270098,Casual Dining,4.3/5,"Italian, Continental, Pizza","Pasta, Mocktails, Tiramisu, Sangria, Mousse, Minestrone Soup, Cajun Chicken",Yes
Matsuri - The Chancery Hotel,Lavelle Road,080 49653164,"Casual Dining, Bar",4.4/5,Japanese,"Squid Rings, Udon Noodle, Miso Soup, Tempura Prawns, Sushi Platter, Fish, Egg Custard",Yes
The Blackboard Bakery,Lavelle Road,+91 9986706451,"Cafe, Bakery",3.7/5,"Cafe, Bakery, Continental","Pancakes, Sandwich, Coffee",Yes
Lotus Pavilion - ITC Gardenia,Richmond Road,080 22119898,Fine Dining,4.2/5,Continental,"Salad, Lamb Chops, Beer, Tea, Cappuccino",Yes
Ithaca - The Chancery Pavilion,Residency Road,+91 9902785566,Fine Dining,3.9/5,"North Indian, Italian, European, Continental","Salads, Sunday Brunch, Cocktails, Watermelon Juice, Fish, Club Sandwich, Breakfast Buffet",Yes
KKR FOODIES,St. Marks Road,+91 9620388962,Quick Bites,3.1/5,"Biryani, Chinese, Fast Food, North Indian",Biryani,Yes
Parika Multicuisine Restaurant,Richmond Road,080 49652474,Casual Dining,3.8/5,"North Indian, Chinese, Mughlai","Tandoori Chicken, Kheer, Chicken Tikka, Butter Naan, Sweet Lassi, Caramel Custard, Panipuri",Yes
Ottimo - ITC Gardenia,Richmond Road,080 22119898,Fine Dining,4.3/5,"Italian, Salad","Tiramisu, Bruschettas, Salmon, Chocolate Dessert, King Prawns, Wine, Scallops",Yes
Mamma Mexicana,MG Road,+91 9886670606,Casual Dining,2.2/5,Mexican,"Nachos, Pizza, Margarita, Mushroom Soup, Tacos, Tortilla Soup, Chicken Burritos",Yes
Desi Deck,Brigade Road,+91 9962403374,"Casual Dining, Bar",3.9/5,"Mughlai, North Indian, Desserts","Balti Gosht, Cocktails, Dal Makhani",Yes
The Bangalore Cafe,Shanti Nagar,080 49653314,Casual Dining,4.2/5,"Modern Indian, North Indian, Pizza, Continental, Beverages","Pasta, Coffee, Chaat, Paneer Pizza, Tawa Pulav, Aloo Biryani, Paratha",Yes
Eden Park,Cunningham Road,080 49652446,Casual Dining,4.1/5,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian","Pasta, Bamboo Biryani, Noodles, Chicken Guntur, Andhra Meal, Andhra Style Biryani, Babycorn Manchurian",Yes
Blue Ginger - The Taj West End,Race Course Road,080 66605660,Fine Dining,4.4/5,Vietnamese,"Mocktails, Jasmine Rice, Chicken Curry, Noodles, Pho, Caramelized Bananas, Prawn",Yes
Mynt - The Taj West End,Race Course Road,080 66605660,Fine Dining,4.1/5,"Italian, North Indian, Lebanese","Sunday Brunch, Pasta, Shawarma, Breakfast Buffet, Lamb, Lunch Buffet, Pizza",Yes
Red Onion,Shanti Nagar,+91 8867253669,Casual Dining,4.2/5,"Chinese, North Indian, Biryani, Kebab","Fish, Dumplings, Biryani, Paneer Tikka Masala, Manchow Soup, Chicken Wings, Chop Suey",Yes
Masala Klub - The Taj West End,Race Course Road,080 66605660,Fine Dining,4.4/5,"North Indian, South Indian","Chocolate Cake, Wine, Meat Curry, Dal Makhani, Tamarind Sorbet, Mutton Biryani, Kulfi",Yes
Blue Bar - The Taj West End,Race Course Road,080 66605660,Lounge,4.0/5,Continental,"Cocktails, Beer, Spring Roll",Yes
The Courtyard,Shanti Nagar,080 49653385,Cafe,3.9/5,"Cafe, Italian","Hot Chocolate, Sandwiches, Garden Pizza, Pasta, Cappuccino, Garlic Bread, Sunday Morning Breakfast",Yes
Sotally Tober,Residency Road,080 45128814,"Bar, Casual Dining",4.4/5,"Asian, Burger, Chinese, Finger Food","Cocktails, Sangria, Butter Chicken, Corn Fritters, Paneer Steak, Chicken Steak, Palak Paneer",Yes
ShakesBierre,Brigade Road,080 49653493,"Microbrewery, Casual Dining",4.4/5,"Asian, Continental, European, North Indian","Cocktails, Pizza, Mocktails, Sweet Yogurt, Nachos, Karela Chaat, Burgers",Yes
NoLimmits Lounge and Club,Brigade Road,080 49653274,Club,4.0/5,"Chinese, Continental, North Indian, Burger, Pizza","Salads, Chicken Bbq Wings, Sandwiches, Pasta, Biryani, Pizza, Cocktails",Yes
Coconut Grove,Church Street,080 25596149,"Casual Dining, Bar",3.9/5,"South Indian, Chettinad, Kerala, Seafood","Beer, Pepper Chicken, Prawn Curry, Appam, Fry Prawns, Chicken Chettinad, Idiyappam",Yes
20 Feet High,Church Street,080 49653093,"Casual Dining, Bar",4.0/5,"American, Continental, Steak, Salad","Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak",Yes
The 13th Floor,MG Road,080 41783355,Lounge,4.4/5,"Asian, North Indian, Thai","Cocktails, Lasagne, Martini, Mocktails, Mutton Pepper, Long Island Iced Tea, Mojito",Yes
KazÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Lavelle Road,080 49652640,Fine Dining,4.4/5,"Asian, Japanese, Thai","Cocktails, Sushi, Salmon, Martini, Tempura Prawns, Chicken Gyoza, Ramen",Yes
Bangalore Brew Works,Residency Road,080 49653436,"Microbrewery, Lounge",4.2/5,"Continental, Italian","Spaghetti, Wheat Beer, Cocktails, Risotto, Nachos, Gourmet Pizza, Draught Beer",Yes
Soda Bottle Opener Wala,Lavelle Road,080 45128763,"Casual Dining, Irani Cafee",4.4/5,"Parsi, North Indian","Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Crispy Okra, Kulfi",Yes
Fava,Lavelle Road,080 49652925,"Casual Dining, Bar",4.4/5,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Pasta, Sangria",Yes
Alchemy - The Chancery Pavilion,Residency Road,080 45128699,"Microbrewery, Casual Dining",4.3/5,Modern Indian,"Craft Beer, Stout, Cocktails, Chicken Wings, Brewed Beer, Mysore Pak, Cheesecake",Yes
1Q1,Infantry Road,080 48050101,"Casual Dining, Bar",4.3/5,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese","Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Salad",Yes
Tree Tops Bar & Kitchen,Lavelle Road,080 49653364,"Casual Dining, Bar",4.4/5,"North Indian, Chinese, Continental, Italian","Cocktails, Pasta, Peri Peri Chicken Burger, Brownie, Jalapeno Poppers, Mocktails, Basil Pesto",Yes
Capri Gastrobar,St. Marks Road,080 49653576,"Bar, Casual Dining",4.3/5,"Mediterranean, Italian, Asian","Cocktails, Peri Peri Wings, Brownie, Burgers, Mezze Platter, Pizza, Fries",Yes
Bang - The Ritz-Carlton,Residency Road,080 49148000,Lounge,4.3/5,Finger Food,"Paneer Roll, Cocktails, Wine, Fiery Chicken, Mexican Platter, Dragon Chicken, Paneer Tikka",Yes
Laughing Llama Gastropub,Brigade Road,+91 9535029732,"Bar, Casual Dining",4.3/5,"Finger Food, Continental, Pizza","Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails",Yes
Blue Bar - The Taj West End,Race Course Road,080 66605660,Lounge,4.0/5,Continental,"Cocktails, Beer, Spring Roll",Yes
Sotally Tober,Residency Road,080 45128814,"Bar, Casual Dining",4.4/5,"Asian, Burger, Chinese, Finger Food","Cocktails, Sangria, Butter Chicken, Corn Fritters, Paneer Steak, Chicken Steak, Palak Paneer",Yes
Coconut Grove,Church Street,080 25596149,"Casual Dining, Bar",3.9/5,"South Indian, Chettinad, Kerala, Seafood","Beer, Pepper Chicken, Prawn Curry, Appam, Fry Prawns, Chicken Chettinad, Idiyappam",Yes
20 Feet High,Church Street,080 49653093,"Casual Dining, Bar",4.0/5,"American, Continental, Steak, Salad","Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak",Yes
Fava,Lavelle Road,080 49652925,"Casual Dining, Bar",4.4/5,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Pasta, Sangria",Yes
1Q1,Infantry Road,080 48050101,"Casual Dining, Bar",4.3/5,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese","Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Salad",Yes
Tree Tops Bar & Kitchen,Lavelle Road,080 49653364,"Casual Dining, Bar",4.4/5,"North Indian, Chinese, Continental, Italian","Cocktails, Pasta, Peri Peri Chicken Burger, Brownie, Jalapeno Poppers, Mocktails, Basil Pesto",Yes
Capri Gastrobar,St. Marks Road,080 49653576,"Bar, Casual Dining",4.3/5,"Mediterranean, Italian, Asian","Cocktails, Peri Peri Wings, Brownie, Burgers, Mezze Platter, Pizza, Fries",Yes
The Rice Bowl,Lavelle Road,080 49653099,"Casual Dining, Bar",4.3/5,"Chinese, Momos","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken",Yes
The Spice Bazaar,Lavelle Road,080 49653209,"Casual Dining, Bar",4.2/5,"North Indian, Mughlai","Brownie, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mutton Soup, Custard",Yes
Laughing Llama Gastropub,Brigade Road,+91 9535029732,"Bar, Casual Dining",4.3/5,"Finger Food, Continental, Pizza","Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails",Yes
Ging - Royal Orchid Central,MG Road,+91 9902000063,"Bar, Casual Dining",4.3/5,Asian,"Paneer Satay, Beer, Creme Brulee, Crispy Prawns",Yes
The Grill House,Ulsoor,080 40977011,"Casual Dining, Bar",4.1/5,"American, Mexican, Italian, Steak","Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff",Yes
Riwaz - The Ritz-Carlton,Residency Road,080 49148000,"Fine Dining, Bar",4.1/5,North Indian,"Tandoori Broccoli, Dal Makhani, Tamatar Ka Shorba, Kadhai Paneer, Raan, Kulfi, Biryani",Yes
Matsuri - The Chancery Hotel,Lavelle Road,080 49653164,"Casual Dining, Bar",4.4/5,Japanese,"Squid Rings, Udon Noodle, Miso Soup, Tempura Prawns, Sushi Platter, Fish, Egg Custard",Yes
Desi Deck,Brigade Road,+91 9962403374,"Casual Dining, Bar",3.9/5,"Mughlai, North Indian, Desserts","Balti Gosht, Cocktails, Dal Makhani",Yes
Lobby Cafe - Radha Regent,Electronic City,080 49652681,Casual Dining,3.7/5,"Continental, American, South Indian, Italian, North Indian, Chinese","Fish, Salads, Dal Makhani, Burgers, Lunch Buffet",Yes
The Big Barbeque,Electronic City,080 49653461,Casual Dining,4.7/5,"BBQ, North Indian, Continental, Chinese","Panipuri, Chaat, Jalebi, Paan Kulfi, Paan Shot, Pasta, Soya Chaap",Yes
Fire Station,Electronic City,080 33512968,"Pub, Casual Dining",4.4/5,"Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese","Beer, Lasagne, Cocktails, Pizza, Churros, Chicken Pepper Fry, Chicken Tikka",Yes
Onesta,Electronic City,080 41177515,"Casual Dining, Cafe",4.5/5,"Pizza, Cafe, Italian","Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza",Yes
Onesta,Electronic City,080 41177515,"Casual Dining, Cafe",4.5/5,"Pizza, Cafe, Italian","Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza",Yes
Onesta,Electronic City,080 41177515,"Casual Dining, Cafe",4.5/5,"Pizza, Cafe, Italian","Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza",Yes
Pallavi Restaurant,Electronic City,080 33512976,Casual Dining,3.8/5,"Biryani, Chinese, Andhra",Biryani,Yes
Gilly's Restobar,Electronic City,080 49652601,"Pub, Casual Dining",4.3/5,"Continental, North Indian, Chinese, Salad","Cocktails, Biryani, Roti, Beer, Chilli Pork, Pizza, Potato Wedges",Yes
Kritunga Restaurant,Electronic City,+91 8884456662,Casual Dining,3.8/5,"Andhra, Biryani, North Indian, Chinese","Brain Fry, Mutton Biryani, Bamboo Chicken, Chicken Biryani, Mutton Curry, Kulcha, Butter Naan",Yes
Onesta,Electronic City,080 41177515,"Casual Dining, Cafe",4.5/5,"Pizza, Cafe, Italian","Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza",Yes
The Big Barbeque,Electronic City,080 49653461,Casual Dining,4.7/5,"BBQ, North Indian, Continental, Chinese","Panipuri, Chaat, Jalebi, Paan Kulfi, Paan Shot, Pasta, Soya Chaap",Yes
Lobby Cafe - Radha Regent,Electronic City,080 49652681,Casual Dining,3.7/5,"Continental, American, South Indian, Italian, North Indian, Chinese","Fish, Salads, Dal Makhani, Burgers, Lunch Buffet",Yes
Fire Station,Electronic City,080 33512968,"Pub, Casual Dining",4.4/5,"Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese","Beer, Lasagne, Cocktails, Pizza, Churros, Chicken Pepper Fry, Chicken Tikka",Yes
Gilly's Restobar,Electronic City,080 49652601,"Pub, Casual Dining",4.3/5,"Continental, North Indian, Chinese, Salad","Cocktails, Biryani, Roti, Beer, Chilli Pork, Pizza, Potato Wedges",Yes
46 Ounces Brewgarden,Electronic City,+91 8496046046,Microbrewery,0/5,"Bar Food, Finger Food, Pizza","Pizza, Craft Beer, French Fries",Yes
Onesta,Electronic City,080 41177515,"Casual Dining, Cafe",4.5/5,"Pizza, Cafe, Italian","Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza",Yes
Kritunga Restaurant,Electronic City,+91 8884456662,Casual Dining,3.8/5,"Andhra, Biryani, North Indian, Chinese","Brain Fry, Mutton Biryani, Bamboo Chicken, Chicken Biryani, Mutton Curry, Kulcha, Butter Naan",Yes
The Terminus - The Oterra,Electronic City,+91 9620800800,Lounge,4.0/5,"Finger Food, Continental","Cocktails, Kulfi, Onion Rings, Chicken Wings, Draught Beer",Yes
Aura - Radha Regent,Electronic City,080 49652659,Bar,3.6/5,"Continental, American, South Indian, Italian, North Indian, Chinese","Friendly Service, Friendly Staff",Yes
Alloro - The Oterra,Electronic City,080 39854710,Fine Dining,4.0/5,Italian,"Pasta, Pizza, Tiramisu, Minestrone Soup, Mushroom Risotto, Clear Soup, Wine",Yes
Pallavi Restaurant,Electronic City,080 33512976,Casual Dining,3.8/5,"Biryani, Chinese, Andhra",Biryani,Yes
Gilly's Restobar,Electronic City,080 49652601,"Pub, Casual Dining",4.3/5,"Continental, North Indian, Chinese, Salad","Cocktails, Biryani, Roti, Beer, Chilli Pork, Potato Wedges, Pizza",Yes
Fire Station,Electronic City,080 33512968,"Pub, Casual Dining",4.4/5,"Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese","Beer, Lasagne, Cocktails, Pizza, Churros, Chicken Pepper Fry, Chicken Tikka",Yes
Aura - Radha Regent,Electronic City,080 49652659,Bar,3.6/5,"Continental, American, South Indian, Italian, North Indian, Chinese","Friendly Service, Friendly Staff",Yes
46 Ounces Brewgarden,Electronic City,+91 8496046046,Microbrewery,0/5,"Bar Food, Finger Food, Pizza","Pizza, Craft Beer, French Fries",Yes
The Terminus - The Oterra,Electronic City,+91 9620800800,Lounge,4.0/5,"Finger Food, Continental","Cocktails, Kulfi, Onion Rings, Chicken Wings, Draught Beer",Yes
Aura - Radha Regent,Electronic City,080 49652659,Bar,3.6/5,"Continental, American, South Indian, Italian, North Indian, Chinese","Friendly Service, Friendly Staff",Yes
Fire Station,Electronic City,080 33512968,"Pub, Casual Dining",4.4/5,"Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese","Beer, Lasagne, Cocktails, Pizza, Churros, Chicken Pepper Fry, Chicken Tikka",Yes
Gilly's Restobar,Electronic City,080 49652601,"Pub, Casual Dining",4.3/5,"Continental, North Indian, Chinese, Salad","Cocktails, Biryani, Roti, Beer, Chilli Pork, Potato Wedges, Pizza",Yes
Cafe Azzure,MG Road,080 49653400,Cafe,4.3/5,"Cafe, Continental, Italian, Burger","Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers",Yes
Meghana Foods,Indiranagar,080 49652122,Casual Dining,4.2/5,"Biryani, Chinese, North Indian, Seafood","Chicken Boneless Biryani, Paneer Biryani, Andhra Style Biryani, Tandoori Chicken, Prawn Biryani, Raita, Hyderabadi Biryani",Yes
Maravanthe,Indiranagar,080 49653410,Casual Dining,4.4/5,"Seafood, Mangalorean","Neer Dosa, Sea Food, Fish, Murgh Ghee Roast, Anjal Masala Fry, Mutton Biryani, Prawn Ghee Roast",Yes
The Mangalorean,Kammanahalli,+91 7349446837,Casual Dining,4.1/5,"Konkan, Mangalorean, Seafood","Neer Dosa, Roast Pork, Fish, Sea Food, Biryani, Ghee Rice, Caramel Custard",Yes
KKR FOODIES,St. Marks Road,+91 9620388962,Quick Bites,3.1/5,"Biryani, Chinese, Fast Food, North Indian",Biryani,Yes
Thai Chy,Indiranagar,080 45128670,Casual Dining,4.3/5,"Thai, Asian, Indonesian","Noodles, Watermelon Mint Mojito, Rendang Curry, Laksa, Dimsum Platter, Spinach Corn Cheese, Phad Thai",Yes
Connie's Restaurant & Steakhouse,Kammanahalli,+91 8792815159,Casual Dining,4.3/5,"Steak, Continental, Burger, American, BBQ, European, Salad","Steak, Garlic Bread, Burgers, Pasta, Chicken Wings, Salads, Pepper Chicken",Yes
Soda Bottle Opener Wala,Lavelle Road,080 45128763,"Casual Dining, Irani Cafee",4.4/5,"Parsi, North Indian","Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Crispy Okra, Mocktails",Yes
Chutney Chang,Church Street,080 49652638,Casual Dining,4.2/5,"North Indian, Chinese, BBQ","Chaat, Chocolate Wonton, Apple Pie, Raj Kachori, Caramel Custard, Momos, Chicken Curry",Yes
Mainland China,Church Street,080 49652555,"Casual Dining, Bar",4.5/5,"Chinese, Momos","Hunan Tofu, Noodles, Jumbo Prawns, Jasmine Tea, Chicken Momo, Cocktails, Momos",Yes
Cafe Azzure,MG Road,080 49653400,Cafe,4.3/5,"Cafe, Continental, Italian, Burger","Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers",Yes
Laughing Llama Gastropub,Brigade Road,+91 9535029732,"Bar, Casual Dining",4.3/5,"Finger Food, Continental, Pizza","Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails",Yes
Eden Park,Cunningham Road,080 49652446,Casual Dining,4.1/5,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian","Pasta, Bamboo Biryani, Noodles, Chicken Guntur, Andhra Meal, Andhra Style Biryani, Babycorn Manchurian",Yes
Oye Amritsar,Church Street,+91 9036025211,Casual Dining,4.1/5,North Indian,"Lassi, Aloo Paratha, Jalebi, Palak Paneer, Cheese Naan",Yes
The Twisted Desi,Indiranagar,080 49652923,Casual Dining,0/5,"Continental, Italian, North Indian, Chinese","Gulab Jamun, Vegetable Biryani, Rasmalai, Diwani Handi, Soup Dumplings, Pav Bhaji, Paneer Tikka",Yes
The Rice Bowl,Lavelle Road,080 49653099,"Casual Dining, Bar",4.3/5,"Chinese, Momos","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken",Yes
Tandoor,MG Road,080 49652745,Fine Dining,3.9/5,North Indian,"Mutton Biryani, Dal Makhani, Chicken Malai Tikka, Paneer Makhani, Faluda, Jal-jeera, Cocktails",Yes
Desi Deck,Brigade Road,+91 9962403374,"Casual Dining, Bar",3.9/5,"Mughlai, North Indian, Desserts","Balti Gosht, Cocktails, Dal Makhani",Yes
Giselle Resto Cafe,Kammanahalli,080 49653161,Cafe,4.1/5,"Cafe, Italian, Pizza, Beverages, Desserts","Pancakes, Steak, Mocktails, Burgers, Wings, Paneer Pizza, Wood Fire Pizza",Yes
