name,online_order,book_table,rating,votes,phone,location,type,dish_liked,cuisines,approx_cost_two_people
Chaitanya Cafe,Yes,No,3.9/5,92,+91 9902125334,JP Nagar,Quick Bites,"Coffee, Pav Bhaji, Masala Dosa, Vada Sambar","South Indian, North Indian, Fast Food",300
Berrylicious,Yes,No,3.8/5,89,+91 8884511222,JP Nagar,Dessert Parlor,"Macaroon, Brownie Sundae, Waffles","Ice Cream, Desserts, Bakery",400
Pappu Da Dhaba,Yes,No,3.0/5,57,+91 6361252138,Jayanagar,Quick Bites,"Lassi, Chai, Paratha","North Indian, Fast Food, Beverages, Momos",400
Smoke - The Sizzler House,Yes,No,3.8/5,92,+91 9620991924,Bannerghatta Road,Food Court,"Chicken Sizzler, Garlic Bread, Potato Wedges, Vanilla Ice Cream, Pasta, French Fries","Continental, Chinese, Thai, Italian, BBQ, Steak","1,100"
Dream a Dozen,Yes,No,4.3/5,133,+91 8861739269,JP Nagar,Delivery,"Cup Cake, Cake Pops, Chocolate Truffle Cake, Brownie","Bakery, Desserts",300
Bread Crumbs Bakery,No,No,4.0/5,164,080 49652927,Bannerghatta Road,Bakery,"Samosa, Egg Puff, Paneer Puff, Chocolate Truffle","Desserts, Bakery",250
Brews N Bites,Yes,No,2.7/5,48,+91 9886791151,Bannerghatta Road,"Quick Bites, Cafe",Thin Crust Pizza,"Chinese, Fast Food, Cafe, Street Food, Finger Food",650
Mudpipe Cafe,Yes,Yes,3.9/5,727,+91 9448056565,JP Nagar,Cafe,"Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers","Cafe, Continental, North Indian",800
D View Cafe,Yes,No,4.0/5,507,+91 9538943596,JP Nagar,"Cafe, Quick Bites","Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings","Cafe, Italian, Chinese, Beverages","1,000"
Kabab Treat,Yes,No,2.8/5,334,080 39257409,Bannerghatta Road,Casual Dining,"Biryani, Tandoori Chicken, Chicken Grill, Shawarma Roll","North Indian, Chinese",500
Bake Addiction,Yes,No,4.0/5,88,+91 7406856980,JP Nagar,Bakery,"Cup Cake, Swiss Roll","Bakery, Desserts",500
Tongue Twisters,Yes,No,3.5/5,283,+91 9902629650,BTM,Quick Bites,"Veg Thali, Fish Thali","Bengali, North Indian, Oriya",350
Brewz Coffee,Yes,No,3.0/5,61,080 41200232,BTM,Cafe,"Coffee, Sandwiches, Cappuccino",Cafe,650
Melt - Eden Park,Yes,Yes,4.0/5,347,+91 9606487102,JP Nagar,Casual Dining,"Tandoori Chicken, Biryani, Paneer Tikka, Chicken Curry, Plain Rice, Cheese Naan, Malaysian Noodles","North Indian, Chinese, Thai, Mughlai, Seafood","1,000"
Sri Bhagya Grand,Yes,No,3.4/5,186,+91 9035066066,Bannerghatta Road,Casual Dining,"Pav Bhaji, Tea, Tandoori Roti, Coffee, Malai Kofta, Vada, Curd Rice","South Indian, North Indian, Chinese, Street Food, Beverages",450
Bangalir Rannaghar,No,No,2.9/5,58,+91 7337618151,Bannerghatta Road,Quick Bites,Noodles,"Bengali, North Indian, Chinese",250
Kailash Parbat,No,No,2.7/5,67,+91 9960069000,Bannerghatta Road,Food Court,"Chole, Chaat, Gulab Jamun, Dahipuri, Sev Puri, Bhel Puri, Pakoda","North Indian, Street Food",300
Malhar Maharashtrian Cuisine,Yes,No,4.0/5,101,+91 9880082094,Bannerghatta Road,Casual Dining,"Brinjal Curry, Misal Pav, Chicken Thali, Chicken Kolhapuri, Sabudana Vada, Veg Thali",Maharashtrian,500
Idly Pidly,Yes,No,3.2/5,148,+91 7022529610,Bannerghatta Road,Quick Bites,Tea,South Indian,250
Apsara Ice Cream,No,No,4.0/5,65,04 141717410,Bannerghatta Road,Dessert Parlor,Panipuri,"Ice Cream, Desserts",200
Targaryen's Kitchen,Yes,No,3.6/5,43,+91 7002618660,JP Nagar,Casual Dining,Tandoori Chicken,"Chinese, North Indian, Mughlai",600
Deja Vu Resto Bar,Yes,Yes,4.4/5,2487,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Status,Yes,No,3.2/5,66,080 26490166,Bannerghatta Road,Casual Dining,Prompt Service,"North Indian, Chinese",600
Bottle Breacher,No,Yes,4.1/5,1187,+91 9482512009,JP Nagar,"Casual Dining, Pub","Chicken Biryani, Mocktails, Pizza, Cocktails, Beer, Pork Ribs, Nachos","Italian, Continental","1,200"
Kesariya,No,Yes,4.2/5,1212,080 49653516,JP Nagar,Casual Dining,"Kheer, Fruit Cream, Panipuri, Rajasthani Thali, Kulfi, Shrikhand, Dal Bati",Rajasthani,"1,200"
New Kabab Plaza,Yes,No,3.7/5,135,+91 8861117766,BTM,Casual Dining,"Shawarma Roll, Chicken Grill, Tandoori Chicken, Chicken Wings, Ghee Rice, Pulpy Grape Juice","North Indian, Chinese",500
Waah Biryani,No,No,3.8/5,115,+91 9008812888,JP Nagar,Quick Bites,"Biryani, Butter Chicken, Chicken Wings, Tandoori Chicken, Chicken Grill, Arabian Grape Juice","North Indian, Chinese, Biryani",350
Rara Avis,No,No,3.9/5,61,080 43334321,JP Nagar,"Takeaway, Delivery",Chicken Curry,"Kerala, Seafood, Biryani, Desserts",400
Flow - Terrace Bar & Grill,No,No,3.8/5,82,+91 9886095845,JP Nagar,"Lounge, Bar","Cocktails, Pizza, Chicken Tikka, Fish, Burgers, Nachos, Almond Flakes","Pizza, Continental, North Indian, Chinese","1,000"
Sree Krishna Kafe,No,No,3.9/5,115,+91 8792556140,JP Nagar,Quick Bites,"Vada, Pongal, Podi Idli, Masala Dosa, Podi Dosa, Idiyappam, Rice",South Indian,200
Dilish Kitchens,No,No,3.7/5,28,+91 7353133336,BTM,Casual Dining,Biryani,"North Indian, Chinese",500
Daily Bread,No,No,3.2/5,63,080 64526672,JP Nagar,"Bakery, Quick Bites","Pasta, Sandwiches, Cappuccino, Sandwich","Bakery, Fast Food, Italian",600
Namana Garden,No,No,2.6/5,75,080 41625637,BTM,Quick Bites,Vada,"North Indian, South Indian, Chinese, Street Food",400
Petoo,No,No,3.7/5,48,+91 9108829009,JP Nagar,Casual Dining,"Jal-jeera, Paratha, Chaat","North Indian, Fast Food, Street Food",800
Ishta Cafe,Yes,No,3.9/5,63,+91 9972314007,Bannerghatta Road,Quick Bites,"Burgers, Masala Dosa, Millet Pizza, Falafel Wrap","Pizza, South Indian, Healthy Food",200
Natural Ice Cream,No,No,4.3/5,423,080 42192049,Bannerghatta Road,Dessert Parlor,"Chocolate Almond, Tender Coconut Ice Cream, Choco Almond, Coffee Walnut, Custard Apple","Ice Cream, Desserts",150
Amma's Pastries,No,No,4.0/5,102,+91 9590607750,Bannerghatta Road,Bakery,Cheesecake,Bakery,400
Bread Crumbs Bakery,No,No,4.0/5,164,080 49652927,Bannerghatta Road,Bakery,"Samosa, Egg Puff, Paneer Puff, Chocolate Truffle","Desserts, Bakery",250
Butterly,Yes,No,3.9/5,102,+91 7338636363,Bannerghatta Road,Cafe,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",450
Cakebuy,Yes,No,3.9/5,70,+91 8496934114,Bannerghatta Road,Dessert Parlor,Chocolate Truffle,Desserts,350
Polar Bear,Yes,No,3.9/5,188,080 49653453,Bannerghatta Road,Dessert Parlor,"Sandwiches, Hot Chocolate Fudge, Brownie, Sandwich","Ice Cream, Desserts, Beverages, Sandwich",400
World on a Swirl,No,No,3.8/5,46,+91 9986075232,Bannerghatta Road,"Dessert Parlor, Quick Bites",Courteous Staff,"Ice Cream, Desserts, Rolls",300
Waffle Walle,Yes,No,4.4/5,677,+91 8105902392,Bannerghatta Road,Kiosk,"Liege Waffle, Vanilla Ice Cream, Chocolate Waffles, Chocolate Drink, Crunchy Waffles, Chocolate Icecreams, Belgian Waffles","Desserts, Belgian, Beverages",500
WAFL,Yes,No,3.9/5,40,+91 8951725759,Bannerghatta Road,Food Court,Waffles,"Cafe, Fast Food, Desserts, Beverages",400
Cold Stone Creamery,Yes,No,3.9/5,99,080 67922488,Bannerghatta Road,Dessert Parlor,"Brownie, Chocolate Devotion, Icecream Cake, Cotton Candy Ice Cream, Coffee, Strawberry Smoothie","Ice Cream, Desserts",400
Sweet Truth,Yes,No,4.1/5,41,+91 7710055553,Bannerghatta Road,Delivery,"Cheesecake, Chocolate Decadence, Pancakes, Chocolate Fantasy, Chocolava Cake, Chocolate Cake, Red Velvet Cake","Bakery, Desserts",500
Apsara Ice Cream,No,No,4.0/5,65,04 141717410,Bannerghatta Road,Dessert Parlor,Panipuri,"Ice Cream, Desserts",200
Two Friends Cauldron,Yes,Yes,4.1/5,448,080 49652809,JP Nagar,Casual Dining,"Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza","Continental, Italian, American",700
Slate Cafe,Yes,No,4.1/5,46,+91 8040923832,JP Nagar,Cafe,"Pasta, Sandwiches","Cafe, Sandwich, Burger",600
Dream a Dozen,Yes,No,4.3/5,132,+91 8861739269,JP Nagar,Delivery,"Cup Cake, Cake Pops, Chocolate Truffle Cake, Brownie","Bakery, Desserts",300
Stoned Monkey,Yes,No,3.9/5,239,+91 9972710694,JP Nagar,Dessert Parlor,"Coffee, Waffles, Hot Chocolate Fudge, Cheesy Garlic Bread","Desserts, Ice Cream",500
Cream Stone,No,No,4.0/5,319,080 26592229,JP Nagar,Dessert Parlor,"Paan Ice Cream, Chocolava, Nutella Brownie, Ferrero Rocher, Waffles, Hot Chocolate Fudge, Chocolate Icecreams","Desserts, Beverages",500
Berrylicious,Yes,No,3.8/5,89,+91 8884511222,JP Nagar,Dessert Parlor,"Macaroon, Brownie Sundae, Waffles","Ice Cream, Desserts, Bakery",400
Daily Bread,No,No,3.2/5,63,080 64526672,JP Nagar,"Bakery, Quick Bites","Pasta, Sandwiches, Cappuccino, Sandwich","Bakery, Fast Food, Italian",600
Dande's Hyderabad Biryani,Yes,No,3.8/5,207,080 41454647,Bannerghatta Road,Casual Dining,"Chicken Boneless Biryani, Lemon Chicken, Dum Biryani","Biryani, Andhra, North Indian",700
Shanghai Court,Yes,No,4.2/5,421,080 42086199,Bannerghatta Road,Casual Dining,"Chicken Manchow Soup, Hunan Chicken, Pad Thai, Singapore Noodles, Dragon Rolls, Momos, Thai Red Curry","Chinese, Thai",700
Punjabi Times,Yes,Yes,4.1/5,1025,080 49652597,Bannerghatta Road,Casual Dining,"Chicken Tikka, Kheer, Butter Chicken, Dal Makhani, Makke Ki Roti, Lassi, Paratha",North Indian,"1,000"
Butterly,Yes,No,3.9/5,102,+91 7338636363,Bannerghatta Road,Cafe,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",450
Kundana,Yes,No,3.7/5,110,080 49652729,Bannerghatta Road,Casual Dining,"Lemon Chicken, Chicken Dum Biryani, Mutton Biryani","Andhra, Biryani",800
#refuel,Yes,No,3.7/5,37,+91 8971227222,Bannerghatta Road,Cafe,"Thick Shakes, Sandwiches, Pasta, Mocktails","Cafe, Beverages",400
Kabab Treat,Yes,No,2.8/5,335,080 39257409,Bannerghatta Road,Casual Dining,"Biryani, Tandoori Chicken, Chicken Grill, Shawarma Roll","North Indian, Chinese",500
A2B - Adyar Ananda Bhavan,Yes,No,2.7/5,425,18001036363,Bannerghatta Road,Casual Dining,"Filter Coffee, Chilli Babycorn, Pav Bhaji, Pongal, Paneer Tikka, Onion Rava Dosa, Chaat","South Indian, North Indian, Chinese, Street Food",400
Malhar Maharashtrian Cuisine,Yes,No,4.0/5,101,+91 9880082094,Bannerghatta Road,Casual Dining,"Brinjal Curry, Misal Pav, Chicken Thali, Chicken Kolhapuri, Sabudana Vada, Veg Thali",Maharashtrian,500
Sri Bhagya Grand,Yes,No,3.4/5,186,+91 9035066066,Bannerghatta Road,Casual Dining,"Pav Bhaji, Tea, Tandoori Roti, Coffee, Malai Kofta, Vada, Curd Rice","South Indian, North Indian, Chinese, Street Food, Beverages",450
Marwa Restaurant,Yes,Yes,3.5/5,551,080 49653014,Bannerghatta Road,Casual Dining,"Kalmi Kabab, Gulab Jamun, Chicken Grill, Shawarma Roll, Vegetarian, Barbeque Chicken, Dal Fry","North Indian, Chinese, Fast Food, BBQ",600
Status,Yes,No,3.2/5,66,080 26490166,Bannerghatta Road,Casual Dining,Prompt Service,"North Indian, Chinese",600
Aramane Restaurant,Yes,Yes,2.9/5,90,+91 8043027998,Bannerghatta Road,Casual Dining,Afghan Chicken,"North Indian, South Indian, Seafood, Biryani, Chinese",800
Chai Point,Yes,No,3.6/5,132,+91 8880141000,Bannerghatta Road,"Beverage Shop, Quick Bites","Ginger Tea, Ginger Chai, Banana Cake, Masala Chai, Egg Sandwich, Vada Pav","Tea, Beverages, Fast Food",250
Wangs Kitchen,Yes,No,3.0/5,114,080 39253925,Bannerghatta Road,Casual Dining,"Noodles, Momos",Chinese,"1,000"
Krishna Kuteera,Yes,No,4.0/5,398,+91 9035011234,Bannerghatta Road,Quick Bites,"Pav Bhaji, Coffee, Set Dosa, Vada, Masala Poori","South Indian, North Indian, Chinese",400
California Burrito,No,No,4.0/5,177,080 39515101,Bannerghatta Road,Quick Bites,"Rice Bowl, Nachos, Rice Bowls, Salad, California Burrito, Tacos, Salads","Mexican, Fast Food",400
McDonald's,Yes,No,4.0/5,256,080 66000666,Bannerghatta Road,Quick Bites,"Burgers, Mocha Frappe, French Fries, Maharaja Mac, Oreo Shake, Egg Wrap","Burger, Fast Food",500
Kanteen The Eatery,Yes,No,3.9/5,78,080 43749430,Bannerghatta Road,Quick Bites,"Chole Bhature, Pav Bhaji, Misal Pav",North Indian,400
Purani Dilli By Anand Sweets,No,No,4.1/5,315,080 26488992,Bannerghatta Road,Quick Bites,"Chaat, Thali, Jalebi, Rajma, Paneer Tikka, Paratha, Kulfi","North Indian, Continental, Street Food",500
Shetty's Kitchen,Yes,No,3.7/5,108,+91 9900449437,Bannerghatta Road,Quick Bites,"Sea Food, Neer Dosa",Mangalorean,600
Polar Bear,Yes,No,3.9/5,188,080 49653453,Bannerghatta Road,Dessert Parlor,"Sandwiches, Hot Chocolate Fudge, Brownie, Sandwich","Ice Cream, Desserts, Beverages, Sandwich",400
Cravings,Yes,No,3.7/5,139,+91 9986624240,Bannerghatta Road,Quick Bites,"Malai Kofta, Sandwiches, Aloo Paratha, Chole Bhature, Panneer Butter Masala, Kulcha, Poori Chole","North Indian, Chinese, Rolls",400
Burger King,Yes,No,3.8/5,472,080 33558000,Bannerghatta Road,Quick Bites,"Burgers, Whopper Meal, Crispy Chicken, French Fries, Grilled Wings","Burger, Fast Food, Beverages",600
KFC,Yes,No,3.8/5,369,080 33994444,Bannerghatta Road,Quick Bites,"Rice Bowl, Paneer Zinger Burger, Burgers, Crispy Chicken, Chicken Boneless Strips","Burger, Fast Food",400
World on a Swirl,No,No,3.8/5,46,+91 9986075232,Bannerghatta Road,"Dessert Parlor, Quick Bites",Courteous Staff,"Ice Cream, Desserts, Rolls",300
Green Onion,No,No,3.3/5,50,+91 8747899743,Bannerghatta Road,Food Court,"Noodles, Momos, Chicken Noodle",Chinese,400
Oottupura Family Restaurant,Yes,No,3.4/5,224,+91 9731552255,Bannerghatta Road,Quick Bites,"Appam, Tea, Chicken Curry, Kadala Curry, Fish, Egg Curry, Idiyappam","Kerala, South Indian, Biryani",400
Shuddh Desi Khana,Yes,No,4.0/5,597,080 49653152,Bannerghatta Road,Quick Bites,"Paratha, Chicken Kebab, Biryani, Lassi, Butter Chicken, Veg Kolhapuri, Pahari Chicken",North Indian,400
Just Shawarma,Yes,No,3.6/5,137,+91 7676764422,Bannerghatta Road,Quick Bites,"Fries, Whole Meat Shawarma",Arabian,300
Faasos,Yes,No,3.9/5,114,+91 7700020020,Bannerghatta Road,Quick Bites,"Chicken Wrap, Veggie Wrap, Rolls, Paneer Wrap","North Indian, Biryani, Fast Food",500
Idly Pidly,Yes,No,3.2/5,148,+91 7022529610,Bannerghatta Road,Quick Bites,Tea,South Indian,250
Pizza Hut,Yes,No,2.4/5,204,080 39883988,Bannerghatta Road,Quick Bites,"Pizza, Garlic Bread, Veg Supreme",Pizza,750
Bangaliana,Yes,No,2.9/5,153,080 26488095,Bannerghatta Road,Quick Bites,"Masala Prawn, Mutton Kosha, Thali, Mutton Curry, Luchi, Fish Cutlet, Bengali Pulao",Bengali,600
Ishta Cafe,Yes,No,3.9/5,63,+91 9972314007,Bannerghatta Road,Quick Bites,"Burgers, Masala Dosa, Millet Pizza, Falafel Wrap","Pizza, South Indian, Healthy Food",200
Brews N Bites,Yes,No,2.7/5,48,+91 9886791151,Bannerghatta Road,"Quick Bites, Cafe",Thin Crust Pizza,"Chinese, Fast Food, Cafe, Street Food, Finger Food",650
Smoke - The Sizzler House,Yes,No,3.8/5,92,+91 9620991924,Bannerghatta Road,Food Court,"Chicken Sizzler, Garlic Bread, Potato Wedges, Vanilla Ice Cream, Pasta, French Fries","Continental, Chinese, Thai, Italian, BBQ, Steak","1,100"
Panchami Garden,No,No,3.5/5,56,080 41311414,Bannerghatta Road,Quick Bites,"Masala Dosa, Idli","South Indian, North Indian",400
Bangalir Rannaghar,No,No,2.9/5,58,+91 7337618151,Bannerghatta Road,Quick Bites,Noodles,"Bengali, North Indian, Chinese",250
Chefeana,Yes,No,4.0/5,212,+91 8050752925,Bannerghatta Road,Quick Bites,"Paratha, Chole Bhature, Lassi, Thali, Paneer Parantha",North Indian,400
Nellore Bhojanam,Yes,No,3.1/5,175,+91 7760358195,Bannerghatta Road,Quick Bites,Biryani,Andhra,250
Brahma Brews,No,Yes,0/5,0,080 49653204,JP Nagar,"Microbrewery, Casual Dining","Beer, Cocktails, Pizza, Peri Chicken, Belgian Wit, Neer Dosa, Cheese Balls","Continental, South Indian, Finger Food, Pizza, Seafood","1,400"
Levitate Brewery and Kitchen,No,Yes,0/5,0,080 49653113,JP Nagar,"Microbrewery, Casual Dining","Wheat Beer, Lager, Paneer Lollipop, Rustica Pizza, Dark Beer, Mocktails, Cocktails","Finger Food, North Indian, Continental","1,500"
Barbeque Nation,No,Yes,4.7/5,3844,+91 8064806060,JP Nagar,Casual Dining,"Lunch Buffet, Goan Fish Curry, Mocktails, Chicken Biryani, Cocktails, Paan Kulfi, Pasta","North Indian, European, Mediterranean, BBQ, Kebab","1,600"
Three Dots & A Dash,No,Yes,4.3/5,1196,080 49652186,JP Nagar,"Bar, Casual Dining","Cocktails, Pizza, Burgers, Pasta, Coconut Chicken, Mocktails, Nachos","European, Continental","1,500"
Hunger Camp,No,Yes,4.6/5,311,080 45128824,JP Nagar,Casual Dining,"Tandoori Chicken, Chicken Sukha, Chicken Biryani, Neer Dosa, Dal Makhani, Mutton Biryani, Paneer Tikka Masala","North Indian, South Indian, Chinese, Seafood","1,300"
Kesariya,No,Yes,4.2/5,1212,080 49653516,JP Nagar,Casual Dining,"Kheer, Fruit Cream, Panipuri, Rajasthani Thali, Kulfi, Shrikhand, Dal Bati",Rajasthani,"1,200"
55 Wall Street,No,Yes,3.9/5,1763,080 49652101,JP Nagar,Bar,"Cocktails, Beer, Bloody Mary, Pasta, Pizza, Burgers, Nachos","Finger Food, North Indian, Chinese","1,300"
Le Arabia,Yes,No,0/5,0,+91 8041410082,JP Nagar,Casual Dining,Chicken Biryani,"North Indian, Mughlai",600
Crumb Together,Yes,Yes,4.1/5,585,080 49652428,JP Nagar,"Casual Dining, Bar","Stuffed Chicken, Malai Broccoli, Cocktails, Salad, Mocktails, Tomato Soup, Biryani","Continental, Finger Food, North Indian, Chinese","1,200"
Mani's Dum Biryani,Yes,No,4.2/5,374,+91 9606441698,JP Nagar,Casual Dining,"Paneer Biryani, Raita, Gulab Jamun, Vegetable Biryani, Dum Biryani, Chicken Boneless Biryani, Chicken Kebab Biryani","Biryani, Kebab",750
Two Friends Cauldron,Yes,Yes,4.1/5,448,080 49652809,JP Nagar,Casual Dining,"Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza","Continental, Italian, American",700
Bottle Breacher,No,Yes,4.1/5,1187,+91 9482512009,JP Nagar,"Casual Dining, Pub","Chicken Biryani, Mocktails, Pizza, Cocktails, Beer, Pork Ribs, Nachos","Italian, Continental","1,200"
Caffe Pascucci,Yes,Yes,4.0/5,790,080 41200431,JP Nagar,Casual Dining,"Coffee, Cappuccino, Sandwiches, Salads, Asparagus Soup, Woodfire Pizza, Bruschettas","Continental, Italian, Beverages","1,300"
Melt - Eden Park,Yes,Yes,4.0/5,347,+91 9606487102,JP Nagar,Casual Dining,"Tandoori Chicken, Biryani, Paneer Tikka, Chicken Curry, Plain Rice, Cheese Naan, Malaysian Noodles","North Indian, Chinese, Thai, Mughlai, Seafood","1,000"
The Egg Factory,Yes,No,4.0/5,1306,080 40124848,JP Nagar,Casual Dining,"French Toast, Masala Omelette, Pasta, Egg Paratha, Caramel Custard, Biryani, Penne Alfredo","Continental, American",750
Kakal-Kai Ruchi,Yes,No,3.7/5,217,+91 9448395832,JP Nagar,Casual Dining,"Masala Dosa, Babycorn Manchurian, Filter Coffee, Chaat, Dahipuri, Masala Papad, Raagi Dosa","North Indian, South Indian, Chinese",500
Waah Biryani,No,No,3.8/5,115,+91 9008812888,JP Nagar,Quick Bites,"Biryani, Butter Chicken, Chicken Wings, Tandoori Chicken, Chicken Grill, Arabian Grape Juice","North Indian, Chinese, Biryani",350
Danapani,No,No,3.8/5,59,080 42350950,JP Nagar,Casual Dining,Roti,"North Indian, South Indian, Chinese",400
Inchara,No,No,3.7/5,535,080 22449961,JP Nagar,Casual Dining,"Paneer Tikka, Chicken Biryani, Cocktails, Prawn, Barbeque Chicken, Malai Kofta, Roti","North Indian, Continental, Chinese",950
Mudpipe Cafe,Yes,Yes,3.9/5,727,+91 9448056565,JP Nagar,Cafe,"Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers","Cafe, Continental, North Indian",800
White Horse,No,No,3.8/5,177,080 26541328,JP Nagar,Quick Bites,"Pot Biryani, Sea Food, Fish Thali","North Indian, Mangalorean, Chinese",400
Flow - Terrace Bar & Grill,No,No,3.8/5,82,+91 9886095845,JP Nagar,"Lounge, Bar","Cocktails, Pizza, Chicken Tikka, Fish, Burgers, Nachos, Almond Flakes","Pizza, Continental, North Indian, Chinese","1,000"
Zeeshan,Yes,No,3.1/5,320,080 41616648,JP Nagar,Casual Dining,"Firni, Rolls, Egg Roll, Chicken Biryani, Mutton Biryani, Calcutta Biryani, Haleem","North Indian, Mughlai, Biryani, Rolls",600
Cuppa,No,No,3.4/5,48,080 40939471,JP Nagar,Cafe,"Coffee, Potato Wedges, Tea","Cafe, Fast Food",550
New Prashanth Hotel,Yes,No,3.1/5,64,+91 9902219219,JP Nagar,Casual Dining,"Mutton Biryani, Chicken Biryani","South Indian, Biryani, Chinese, North Indian",750
Petoo,No,No,3.7/5,48,+91 9108829009,JP Nagar,Casual Dining,"Jal-jeera, Paratha, Chaat","North Indian, Fast Food, Street Food",800
Grills & Rolls,Yes,No,2.5/5,321,080 26593949,JP Nagar,Quick Bites,"Shawarma, Chicken Grill, Tandoori Chicken, Butter Chicken, Rolls, Chicken Tikka, Grape Juice","North Indian, Chinese, Fast Food, Rolls, Juices",400
Chaitanya Cafe,Yes,No,3.9/5,92,+91 9902125334,JP Nagar,Quick Bites,"Coffee, Pav Bhaji, Masala Dosa, Vada Sambar","South Indian, North Indian, Fast Food",300
Sree Krishna Kafe,No,No,3.9/5,115,+91 8792556140,JP Nagar,Quick Bites,"Vada, Pongal, Podi Idli, Masala Dosa, Podi Dosa, Idiyappam, Rice",South Indian,200
Five Star Chicken,Yes,No,3.9/5,62,+91 8884121777,JP Nagar,Quick Bites,Fries,"Burger, Fast Food, Roast Chicken, Finger Food",300
Gud Dhani,Yes,No,4.0/5,827,080 50060017,BTM,Casual Dining,"Buttermilk, Jal-jeera, Churma, Palak Kofta, Lassi, Gulab Jamun, Dahi Bhindi",Rajasthani,500
Bathinda Junction,Yes,No,3.9/5,362,+91 9740701619,BTM,Casual Dining,"Lassi, Shikanji, Dal Makhani, Makke Ki Roti, Butter Chicken, Paneer Punjabi, Chicken Curry",North Indian,600
New Kabab Plaza,Yes,No,3.7/5,135,+91 8861117766,BTM,Casual Dining,"Shawarma Roll, Chicken Grill, Tandoori Chicken, Chicken Wings, Ghee Rice, Pulpy Grape Juice","North Indian, Chinese",500
Sankranthi Veg Restaurant,Yes,No,3.0/5,102,+91 8095275614,BTM,Casual Dining,"Tea, Vada Sambar, Masala Dosa","South Indian, North Indian, Chinese",600
Litti Twist,Yes,No,4.2/5,465,+91 8884270523,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai","North Indian, Bihari",300
Kalingas,Yes,No,3.9/5,173,080 42038180,BTM,Quick Bites,"Rasgulla, Mutton Kosha, Chicken Kasha, Samosa Chaat, Kheer, Veg Thali","Oriya, Fast Food",250
Gorbandh,Yes,No,4.1/5,83,080 49652562,BTM,Quick Bites,"Aloo Paratha, Samosa, Kachori, Poha, Chaat","Fast Food, North Indian",400
Dilish Kitchens,No,No,3.7/5,28,+91 7353133336,BTM,Casual Dining,Biryani,"North Indian, Chinese",500
Baba Ka Dhaba,Yes,No,3.7/5,194,+91 9986286453,BTM,Quick Bites,"Paratha, Butter Naan, Thali, Tandoori Roti, Lassi",North Indian,400
Namana Garden,No,No,2.6/5,75,080 41625637,BTM,Quick Bites,Vada,"North Indian, South Indian, Chinese, Street Food",400
Mahesh Friends Food Center,Yes,No,2.9/5,126,+91 9731081364,BTM,Quick Bites,Lassi,"Chinese, North Indian",300
Amontron,Yes,No,3.9/5,435,+91 9742326196,BTM,Casual Dining,"Katla Kalia, Basanti Pulao, Biryani, Aloo Posto, Mutton Kosha, Ilish, Mutton Dak Bunglow",Bengali,650
Levitate Brewery and Kitchen,No,Yes,0/5,0,080 49653113,JP Nagar,"Microbrewery, Casual Dining","Wheat Beer, Lager, Paneer Lollipop, Rustica Pizza, Dark Beer, Mocktails, Cocktails","Finger Food, North Indian, Continental","1,500"
Brahma Brews,No,Yes,0/5,0,080 49653204,JP Nagar,"Microbrewery, Casual Dining","Beer, Cocktails, Pizza, Peri Chicken, Belgian Wit, Neer Dosa, Cheese Balls","Continental, South Indian, Finger Food, Pizza, Seafood","1,400"
Deja Vu Resto Bar,Yes,Yes,4.4/5,2488,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Chavadi,Yes,Yes,4.4/5,2237,080 49653031,Bannerghatta Road,"Casual Dining, Bar","Pizza, Cocktails, Saffron Rice, Pie, Sulemani Chai, Prawn Crackers, Waffles","Continental, North Indian, Pizza, Italian","1,200"
55 Wall Street,No,Yes,3.9/5,1763,080 49652101,JP Nagar,Bar,"Cocktails, Beer, Bloody Mary, Pasta, Pizza, Burgers, Nachos","Finger Food, North Indian, Chinese","1,300"
Crumb Together,Yes,Yes,4.1/5,585,080 49652428,JP Nagar,"Casual Dining, Bar","Stuffed Chicken, Malai Broccoli, Cocktails, Salad, Mocktails, Tomato Soup, Biryani","Continental, Finger Food, North Indian, Chinese","1,200"
Bottle Breacher,No,Yes,4.1/5,1187,+91 9482512009,JP Nagar,"Casual Dining, Pub","Chicken Biryani, Mocktails, Pizza, Cocktails, Beer, Pork Ribs, Nachos","Italian, Continental","1,200"
